video_id,channel_id,views,likes,comments,shares,subscribers_gained,estimated_revenue,avg_view_pct,avg_view_duration
VqYv9RAtNco,UC2IjY1Gm6b7pYp-vMJ2R9ig,5,0,0,0,0,0.0,5.12,57.2
VrD9AFVgyPA,UCMGKZD9ggu_Pfo4dkL47cXQ,1483,16,1,1,0,0.258,78.53,21.71
Vs3J5kJdifA,UCSlOhfr5f-RPRP50yRri1uA,2976,29,0,0,0,0.104,79.81,24.07
VsyDljcUYAg,UCSlOhfr5f-RPRP50yRri1uA,402,1,0,0,4,0.782,31.07,344.97
VuJgX9t7JmA,UCbnCFV5_c-nGiEQN1anEO5A,55,0,0,0,0,0.025,14.86,203.0
VuNpKHRYkaE,UCk2O5vfW3c_W5YWQ_BoD1Ug,116862,450,0,8,119,2.29,66.03,25.48
VvwlyZbpUqs,UCk2O5vfW3c_W5YWQ_BoD1Ug,35,1,0,3,0,0.015,16.0,209.17
Vw4FN6rlgkA,UCMGKZD9ggu_Pfo4dkL47cXQ,103,2,0,0,0,0.022,69.95,24.2
VwC_PvccgkM,UCSlOhfr5f-RPRP50yRri1uA,5335,57,0,0,7,0.318,62.83,26.73
VwCqDQF3_BE,UCZFs3JqsRIqtqYgo4HahDUQ,353,0,0,0,0,0.018,29.27,15.48
VwEOLIy8OgY,UCnwjt6PgkKuZC4S1A0yTOFQ,90303,655,0,162,1,88.463,18.72,261.76
Vy38z5b6kMw,UCMGKZD9ggu_Pfo4dkL47cXQ,11,0,0,0,0,0.004,7.3,406.27
VyJxxFPPC6g,UCc-V01UlW1n8eGLpATLA5gw,2,0,0,0,0,0.0,1.94,1.0
W-8Jz4IRVY8,UCZem4a64VnhfA4CBw9vM2bg,35,0,0,0,0,0.001,35.92,20.4
W-UbswEOH1o,UCk2O5vfW3c_W5YWQ_BoD1Ug,108,0,0,0,0,0.109,16.65,175.07
W1AlCkVnqGY,UCJw9px5fOp-nwJG6g4gN1ng,11,1,0,0,0,0.01,2.24,28.73
W1UZvEAuABA,UCxxl4xdZZqRSSz2VfnFBhwA,192,3,0,0,0,0.268,15.05,147.0
W2L3_3LM-7U,UC0GVHmLgrxE2SS8F0C19JVg,2165,12,0,0,3,4.434,16.53,184.9
W2b8bVNps10,UCEFB0gMdnD1NyiZaedHg2hQ,1185,6,0,0,3,0.035,36.82,21.0
W2listA8aZc,UCl_Nqhf2SGNwv4uvbvs3upg,1665,3,0,1,5,6.539,1.84,128.32
W3ed-HCZlCY,UC80LfoIH6FrzHTm6lXTWCKQ,10,0,0,0,0,0.001,51.69,34.3
W50B-sZkfeA,UCdtOFTQ1GVPKzvOYsi1ApIw,1,0,0,0,0,0.0,0.0,0.0
W7UHabso0M8,UCT7ZxKrKqxBvAODr8h_ODkA,16,0,0,0,0,0.001,6.34,140.88
W86VOOc0LnM,UCqbTAXnwXspcNb7l3UqrOHQ,4372,77,0,1,15,0.0,71.84,21.02
W9AGRSnwX64,UCVRU0wQxaEQdq0CKQHfifZg,15,0,0,0,0,0.006,0.84,14.8
WAo8aI9XBd4,UCOfo1ycUYYsMkBRS56TSo3Q,3005,28,0,0,4,0.0,70.69,20.59
WBMTJfxlWsY,UCZem4a64VnhfA4CBw9vM2bg,200,3,0,0,0,0.141,8.53,150.0
WBkr0WWn9gM,UCMGKZD9ggu_Pfo4dkL47cXQ,13493,253,1,4,16,1.548,80.72,28.0
WCu0GhWPs-c,UCbnCFV5_c-nGiEQN1anEO5A,10,0,0,0,0,0.0,3.83,39.0
WDPC-GL-b8g,UCpUrAXv2lzGxM4plYB7CE-A,330,1,0,1,0,0.317,3.9,282.67
WE1FoJXDm2I,UCxhHKduxLRNAOC_GUHPPf1Q,24,1,0,0,1,0.0,66.76,20.79
